2,Delete,,,,
3,Relabel,,,,
4,Delete,Delete,Insert,,
5,Delete,Insert,Delete,Insert,
6,Delete,Insert,,,
7,Delete,Insert,,,
8,Delete,Insert,,,
9,Delete,Insert,Insert,Delete,
10,Delete,Insert,Insert,,
11,Delete,Insert,Insert,,
12,Delete,Insert,Insert,,
13,Delete,Insert,Insert,,
14,Delete,Insert,Insert,,
15,Delete,Insert,Insert,,
16,Delete,Delete,Delete,Insert,
17,Delete,Insert,Insert,,
19,Delete,,,,
20,Append,,,,
21,Insert,,,,
22,Delete,Delete,,,
23,Delete,,,,
24,Delete,,,,
25,Delete,,,,
26,Delete,Insert,,,
27,Delete,Insert,Delete,,
28,Delete,Insert,Delete,,
29,Delete,Insert,,,
30,Delete,Insert,,,
31,Delete,Insert,Delete,,
32,Delete,Insert,,,
33,Relabel,Delete,Insert,,
34,Delete,Insert,Delete,Append,
35,Delete,Insert,Insert,Insert,
36,Delete,Delete,Insert,,
37,Delete,Insert,Insert,,
38,Delete,Insert,Delete,Delete,Insert
39,Relabel,Delete,Insert,Insert,
40,Delete,Insert,Delete,Insert,Delete
41,Delete,Insert,Delete,Insert,Delete
42,Relabel,Delete,Insert,Insert,
44,Delete,Insert,Delete,,
45,Delete,Delete,Insert,Insert,
47,Delete,Delete,Delete,Insert,Insert
50,Insert,,,,
51,Delete,,,,
52,Relabel,Delete,,,
53,Delete,Delete,Insert,,
54,Relabel,Insert,Delete,Delete,Delete
55,Delete,Delete,,,
56,Delete,Delete,Delete,,
57,Delete,Delete,,,
58,Delete,,,,
59,Delete,Append,,,
60,Delete,Delete,,,
61,Relabel,Delete,Insert,Insert,
62,Delete,Delete,,,
63,Delete,Delete,,,
64,Delete,Delete,,,
65,Delete,Insert,Insert,,
66,Delete,Delete,Delete,,
67,Delete,,,,
68,Delete,,,,
69,Delete,,,,
70,Delete,Delete,Delete,,
71,Delete,Delete,Delete,Delete,
72,Delete,Insert,Insert,,
73,Delete,Insert,Insert,,
74,Delete,Insert,Insert,,
75,Delete,Insert,Insert,,
76,Delete,Insert,Insert,,
77,Delete,Insert,Insert,,
78,Delete,Delete,Delete,Delete,
79,Delete,Delete,Delete,Delete,
80,Delete,Delete,Delete,Delete,
81,Delete,Delete,Delete,Delete,
82,Delete,Insert,Insert,,
83,Delete,Delete,Delete,Delete,
84,Delete,Delete,,,
85,Delete,Delete,,,
86,Delete,,,,
87,Delete,,,,
88,Delete,,,,
89,Delete,,,,
90,Delete,,,,
91,Delete,,,,
92,Delete,Delete,Delete,Delete,
93,Delete,Insert,Insert,,
